1.00,0.00,0.99,0.00,0.69,0.31,0.00,7.80,0.02,0.28,2.89,0.57,2.00
1.00,0.21,0.36,0.24,0.01,0.99,0.19,7.50,0.40,6.10,3.07,0.71,2.00
1.00,0.18,0.46,0.20,0.01,0.99,0.15,7.00,0.39,5.70,3.04,0.72,2.50
1.00,0.16,0.55,0.18,0.01,0.99,0.11,6.40,0.33,4.89,3.22,0.74,3.43
1.00,0.00,0.99,0.00,0.67,0.33,0.00,8.30,0.01,0.18,2.92,0.59,1.67
1.00,0.23,0.32,0.24,0.02,0.98,0.21,8.30,0.57,7.77,2.92,0.70,3.80
1.00,0.24,0.30,0.24,0.02,0.98,0.22,8.00,0.56,7.69,3.11,0.74,2.60
1.00,0.25,0.24,0.28,0.56,0.44,0.22,7.20,0.49,6.25,3.02,0.82,1.90
1.00,0.00,0.99,0.00,0.02,0.98,0.00,8.70,0.19,2.12,2.92,0.85,1.40
1.00,0.24,0.31,0.24,0.04,0.96,0.21,8.70,0.54,7.88,2.89,0.74,2.33
1.00,0.25,0.04,0.36,0.45,0.55,0.36,9.20,0.85,10.76,3.25,0.72,2.00
1.00,0.31,0.05,0.32,0.43,0.57,0.32,8.20,0.74,9.52,3.34,0.72,1.22
2.00,0.00,0.99,0.00,0.91,0.09,0.00,5.20,0.02,0.28,2.91,0.56,2.83
2.00,0.21,0.36,0.24,0.01,0.99,0.19,4.60,0.40,6.10,2.92,0.68,3.40
2.00,0.18,0.46,0.20,0.01,0.99,0.15,4.20,0.38,5.70,3.01,0.62,5.00
2.00,0.16,0.55,0.18,0.01,0.99,0.11,3.80,0.33,4.89,2.96,0.68,2.25
2.00,0.00,0.99,0.00,0.91,0.09,0.00,5.30,0.01,0.18,2.91,0.58,1.80
2.00,0.23,0.32,0.24,0.02,0.98,0.21,4.80,0.56,7.77,2.98,0.67,4.17
2.00,0.24,0.30,0.24,0.02,0.98,0.22,4.40,0.56,7.69,3.02,0.69,2.00
2.00,0.25,0.24,0.28,0.56,0.44,0.22,4.00,0.48,6.25,3.04,0.72,2.60
2.00,0.00,0.99,0.00,0.02,0.98,0.00,5.30,0.19,2.12,2.85,0.74,1.60
2.00,0.24,0.31,0.24,0.04,0.96,0.21,5.10,0.54,7.88,2.91,0.70,2.29
2.00,0.32,0.03,0.32,0.45,0.55,0.32,4.60,0.85,10.76,3.06,0.69,2.00
2.00,0.31,0.03,0.33,0.43,0.57,0.33,4.40,0.72,9.52,3.03,0.60,1.88
3.00,0.00,0.99,0.00,0.91,0.09,0.00,4.50,0.02,0.28,2.87,0.57,1.57
3.00,0.21,0.36,0.24,0.01,0.99,0.19,4.40,0.40,6.10,2.89,0.67,1.50
3.00,0.18,0.46,0.20,0.01,0.99,0.15,4.20,0.38,5.70,2.94,0.64,1.56
3.00,0.16,0.55,0.18,0.01,0.99,0.11,3.90,0.32,4.89,2.97,0.59,2.17
3.00,0.00,0.99,0.00,0.91,0.09,0.00,4.60,0.01,0.18,2.87,0.59,2.56
3.00,0.23,0.32,0.24,0.02,0.98,0.21,4.60,0.56,7.77,2.96,0.68,2.33
3.00,0.24,0.30,0.25,0.02,0.98,0.22,4.60,0.55,7.69,2.95,0.67,2.00
3.00,0.25,0.24,0.28,0.56,0.44,0.22,4.20,0.48,6.25,2.86,0.79,1.70
3.00,0.00,0.99,0.00,0.02,0.98,0.00,4.60,0.19,2.12,2.90,0.71,2.10
3.00,0.25,0.27,0.26,0.04,0.96,0.23,4.70,0.54,7.88,2.88,0.68,1.00
3.00,0.14,0.05,0.36,0.45,0.55,0.45,5.00,0.85,10.76,2.95,0.68,1.00
3.00,0.11,0.06,0.23,0.43,0.57,0.60,4.70,0.71,9.52,2.99,0.67,1.43
4.00,0.00,0.99,0.00,0.91,0.09,0.00,2.00,0.02,0.28,2.87,0.56,3.00
4.00,0.21,0.36,0.24,0.01,0.99,0.19,1.80,0.40,6.10,2.88,0.57,1.78
